Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 1] Step 5000 | Triplet: 0.0000 | Domain: 2.1426 | Total: 2.1426
[Epoch 1] Step 5040 | Triplet: 0.3240 | Domain: 1.9258 | Total: 2.2498
[Epoch 1] Step 5080 | Triplet: 0.1498 | Domain: 1.8379 | Total: 1.9877
[Epoch 1] Step 5120 | Triplet: 0.0000 | Domain: 2.0742 | Total: 2.0742
[Epoch 1] Step 5160 | Triplet: 0.1122 | Domain: 2.0977 | Total: 2.2098
[Epoch 1] Step 5200 | Triplet: 0.0786 | Domain: 2.1738 | Total: 2.2524
[Epoch 1] Step 5240 | Triplet: 0.3085 | Domain: 1.9102 | Total: 2.2187
[Epoch 1] Step 5280 | Triplet: 0.4007 | Domain: 2.0605 | Total: 2.4612
[Epoch 1] Step 5320 | Triplet: 0.0646 | Domain: 2.0977 | Total: 2.1623
[Epoch 1] Step 5360 | Triplet: 0.1057 | Domain: 1.7363 | Total: 1.8421
[Epoch 1] Step 5400 | Triplet: 0.2152 | Domain: 1.6494 | Total: 1.8646
[Epoch 1] Step 5440 | Triplet: 0.2605 | Domain: 1.6934 | Total: 1.9538
[Epoch 1] Step 5480 | Triplet: 0.1530 | Domain: 1.8857 | Total: 2.0388
[Epoch 1] Step 5520 | Triplet: 0.1959 | Domain: 1.9893 | Total: 2.1851
[Epoch 1] Step 5560 | Triplet: 0.1630 | Domain: 1.9482 | Total: 2.1112
[Epoch 1] Step 5600 | Triplet: 0.1379 | Domain: 2.0977 | Total: 2.2356
[Epoch 1] Step 5640 | Triplet: 0.1827 | Domain: 2.0137 | Total: 2.1964
[Epoch 1] Step 5680 | Triplet: 0.0950 | Domain: 1.6680 | Total: 1.7630
[Epoch 1] Step 5720 | Triplet: 0.2250 | Domain: 1.9033 | Total: 2.1283
start training 2
[Epoch 2] Step 5760 | Triplet: 0.2544 | Domain: 1.8662 | Total: 2.1206
[Epoch 2] Step 5800 | Triplet: 0.1714 | Domain: 1.9414 | Total: 2.1128
[Epoch 2] Step 5840 | Triplet: 0.1410 | Domain: 2.1055 | Total: 2.2465
[Epoch 2] Step 5880 | Triplet: 0.1894 | Domain: 2.1250 | Total: 2.3144
[Epoch 2] Step 5920 | Triplet: 0.2280 | Domain: 2.0215 | Total: 2.2495
[Epoch 2] Step 5960 | Triplet: 0.1752 | Domain: 1.8408 | Total: 2.0160
[Epoch 2] Step 6000 | Triplet: 0.1214 | Domain: 2.0898 | Total: 2.2112
[Epoch 2] Step 6040 | Triplet: 0.0494 | Domain: 1.9316 | Total: 1.9811
[Epoch 2] Step 6080 | Triplet: 0.1902 | Domain: 1.8447 | Total: 2.0349
[Epoch 2] Step 6120 | Triplet: 0.1844 | Domain: 1.6777 | Total: 1.8621
[Epoch 2] Step 6160 | Triplet: 0.1729 | Domain: 2.0820 | Total: 2.2549
[Epoch 2] Step 6200 | Triplet: 0.3121 | Domain: 1.9805 | Total: 2.2926
[Epoch 2] Step 6240 | Triplet: 0.1722 | Domain: 2.0371 | Total: 2.2093
[Epoch 2] Step 6280 | Triplet: 0.0626 | Domain: 2.0723 | Total: 2.1348
[Epoch 2] Step 6320 | Triplet: 0.1511 | Domain: 1.8799 | Total: 2.0310
[Epoch 2] Step 6360 | Triplet: 0.3602 | Domain: 2.1191 | Total: 2.4793
[Epoch 2] Step 6400 | Triplet: 0.2152 | Domain: 2.1367 | Total: 2.3519
[Epoch 2] Step 6440 | Triplet: 0.1027 | Domain: 2.0996 | Total: 2.2023
[Epoch 2] Step 6480 | Triplet: 0.1291 | Domain: 2.0215 | Total: 2.1506
[Epoch 2] Step 6520 | Triplet: 0.1899 | Domain: 2.1074 | Total: 2.2973
[Epoch 2] Step 6560 | Triplet: 0.0632 | Domain: 2.0918 | Total: 2.1550
[Epoch 2] Step 6600 | Triplet: 0.1701 | Domain: 2.0762 | Total: 2.2462
[Epoch 2] Step 6640 | Triplet: 0.0898 | Domain: 1.9775 | Total: 2.0674
[Epoch 2] Step 6680 | Triplet: 0.2187 | Domain: 2.0215 | Total: 2.2402
[Epoch 2] Step 6720 | Triplet: 0.2024 | Domain: 2.0078 | Total: 2.2102
[Epoch 2] Step 6760 | Triplet: 0.1290 | Domain: 1.7617 | Total: 1.8907
[Epoch 2] Step 6800 | Triplet: 0.1734 | Domain: 2.1230 | Total: 2.2964
[Epoch 2] Step 6840 | Triplet: 0.1900 | Domain: 1.7607 | Total: 1.9508
[Epoch 2] Step 6880 | Triplet: 0.0727 | Domain: 1.8242 | Total: 1.8969
[Epoch 2] Step 6920 | Triplet: 0.2191 | Domain: 1.9521 | Total: 2.1712
[Epoch 2] Step 6960 | Triplet: 0.2680 | Domain: 2.0684 | Total: 2.3363
[Epoch 2] Step 7000 | Triplet: 0.2519 | Domain: 1.9629 | Total: 2.2148
[Epoch 2] Step 7040 | Triplet: 0.2032 | Domain: 2.0566 | Total: 2.2598
[Epoch 2] Step 7080 | Triplet: 0.0735 | Domain: 1.8271 | Total: 1.9006
[Epoch 2] Step 7120 | Triplet: 0.2075 | Domain: 2.0000 | Total: 2.2075
[Epoch 2] Step 7160 | Triplet: 0.1017 | Domain: 2.1426 | Total: 2.2443
[Epoch 2] Step 7200 | Triplet: 0.1637 | Domain: 1.9092 | Total: 2.0729
[Epoch 2] Step 7240 | Triplet: 0.1552 | Domain: 2.0605 | Total: 2.2158
[Epoch 2] Step 7280 | Triplet: 0.1511 | Domain: 1.7725 | Total: 1.9236
[Epoch 2] Step 7320 | Triplet: 0.2063 | Domain: 2.1289 | Total: 2.3352
[Epoch 2] Step 7360 | Triplet: 0.2152 | Domain: 1.9102 | Total: 2.1253
[Epoch 2] Step 7400 | Triplet: 0.3352 | Domain: 1.9414 | Total: 2.2766
[Epoch 2] Step 7440 | Triplet: 0.2971 | Domain: 1.6895 | Total: 1.9865
[Epoch 2] Step 7480 | Triplet: 0.2742 | Domain: 2.0762 | Total: 2.3504
